,Champion,Date,Days,Days recog.,Defences,Defenses,Event,Location,No.,Notes,Promotion,Ref.,Reign,Title_Name,Unnamed: 10_level_1,Unnamed: 9_level_1
127,Rey Mysterio,"July 25, 2011",<1,<1,,,Raw,"Hampton, VA",105,Defeated The Miz in a tournament final to crown a new champion.CM Punk was also recognized as WWE Champion.,WWE,[156],1,WWE_Championship,,
128,John Cena,"July 25, 2011",20,20,,,Raw,"Hampton, VA",106,"As the former champion prior to CM Punk, Cena was granted a title match against Rey Mysterio by Triple H. Punk was also recognized as WWE Champion.",WWE,[157],9,WWE_Championship,,
129,CM Punk,"August 14, 2011",—,—,,,SummerSlam,"Los Angeles, CA",†,Punk defeated John Cena in a match to determine the undisputed champion. Triple H was the guest referee. This is considered a continuation of Punk's first reign.,WWE,[158],1,WWE_Championship,,
130,Alberto Del Rio,"August 14, 2011",35,35,,,SummerSlam,"Los Angeles, CA",107,"Cashed in his Money in the Bank contract after CM Punk defeated John Cena to determine the undisputed champion.On August 29, 2011, the first brand extension ended, allowing the WWE Champion to appear on both Raw and SmackDown.",WWE,[159],1,WWE_Championship,,
131,WWE (unbranded),WWE (unbranded),WWE (unbranded),WWE (unbranded),,,WWE (unbranded),WWE (unbranded),WWE (unbranded),WWE (unbranded),WWE,WWE (unbranded),WWE (unbranded),WWE_Championship,WWE (unbranded),
132,John Cena,"September 18, 2011",14,14,,,Night of Champions,"Buffalo, NY",108,,WWE,[160],10,WWE_Championship,,
133,Alberto Del Rio,"October 2, 2011",49,49,,,Hell in a Cell,"New Orleans, LA",109,This was a triple threat Hell in a Cell match also involving CM Punk.,WWE,[161],2,WWE_Championship,,
134,CM Punk,"November 20, 2011",434,434,,,Survivor Series,"New York, NY",110,,WWE,[162],2,WWE_Championship,,
135,The Rock,"January 27, 2013",70,70,,,Royal Rumble,"Phoenix, AZ",111,"CM Punk had initially won, but the match was restarted by Vince McMahon due to interference by The Shield (Dean Ambrose, Roman Reigns, and Seth Rollins).",WWE,[163],8,WWE_Championship,,
136,John Cena,"April 7, 2013",133,133,,,WrestleMania 29,"East Rutherford, NJ",112,,WWE,[164],11,WWE_Championship,,
137,Daniel Bryan,"August 18, 2013",<1,<1,,,SummerSlam,"Los Angeles, CA",113,Triple H was the guest referee.,WWE,[165],1,WWE_Championship,,
138,Randy Orton,"August 18, 2013",28,28,,,SummerSlam,"Los Angeles, CA",114,Cashed in his Money in the Bank contract. Triple H was the guest referee.,WWE,[166],7,WWE_Championship,,
139,Daniel Bryan,"September 15, 2013",1,1,,,Night of Champions,"Detroit, MI",115,,WWE,[167],2,WWE_Championship,,
140,Vacated,"September 16, 2013",—,—,,,Raw,"Cleveland, OH",—,The title was vacated after a controversial finish when Daniel Bryan defeated Randy Orton to win the title.,WWE,[168],—,WWE_Championship,,
141,Randy Orton,"October 27, 2013",161,161,,,Hell in a Cell,"Miami, FL",116,"Orton defeated Daniel Bryan in a Hell in a Cell match to win the vacant title with Shawn Michaels as the guest referee.On December 15, 2013 at TLC: Tables, Ladders & Chairs, Orton defeated John Cena in a Tables, Ladders and Chairs match to unify the World Heavyweight Championship with the WWE Championship. The World Heavyweight Championship was then retired and the WWE Championship became known as the WWE World Heavyweight Championship.",WWE,[169],8,WWE_Championship,,
142,Daniel Bryan,"April 6, 2014",64,65,,,WrestleMania XXX,"New Orleans, LA",117,"This was a triple threat match also involving Batista, whom Bryan forced to submit to win the match.",WWE,[170],3,WWE_Championship,,
143,Vacated,"June 9, 2014",—,—,,,Raw,"Minneapolis, MN",—,Daniel Bryan was stripped of the title due to a neck injury.,WWE,[171],—,WWE_Championship,,
144,John Cena,"June 29, 2014",49,49,,,Money in the Bank,"Boston, MA",118,"This was an eight-way ladder match for the vacant title also involving Alberto Del Rio, Bray Wyatt, Cesaro, Kane, Randy Orton, Roman Reigns, and Sheamus.",WWE,[172],12,WWE_Championship,,
145,Brock Lesnar,"August 17, 2014",224,223,,,SummerSlam,"Los Angeles, CA",119,,WWE,[173],4,WWE_Championship,,
146,Seth Rollins,"March 29, 2015",221,221,,,WrestleMania 31,"Santa Clara, CA",120,"Cashed in his Money in the Bank contract during a singles match between Brock Lesnar and Roman Reigns, converting it into a triple threat match and subsequently pinned Reigns to win the match.WWE has since retrospectively changed to recognizing Rollins' reign ending on November 5, 2015, the date the title was officially vacated.",WWE,[174],1,WWE_Championship,,
147,Vacated,"November 5, 2015",—,—,,,—,—,—,"The title was vacated after Seth Rollins suffered a torn ACL, MCL, and a damaged meniscus at a live event in Dublin, Ireland.",WWE,[175],—,WWE_Championship,,
148,Roman Reigns,"November 22, 2015",<1,<1,,,Survivor Series,"Atlanta, GA",121,Defeated Dean Ambrose in a tournament final to win the vacant title.,WWE,[176],1,WWE_Championship,,
149,Sheamus,"November 22, 2015",22,22,,,Survivor Series,"Atlanta, GA",122,Cashed in his Money in the Bank contract.,WWE,[177],3,WWE_Championship,,
150,Roman Reigns,"December 14, 2015",41,41,,,Raw,"Philadelphia, PA",123,This was a title vs. career match.,WWE,[178],2,WWE_Championship,,
151,Triple H,"January 24, 2016",70,70,,,Royal Rumble,"Orlando, FL",124,This was the Royal Rumble match in which Roman Reigns defended the title and entered at number one. Triple H eliminated Reigns before lastly eliminating Dean Ambrose to win the title.,WWE,[179],9,WWE_Championship,,
152,Roman Reigns,"April 3, 2016",77,77,,,WrestleMania 32,"Arlington, TX",125,,WWE,[180],3,WWE_Championship,,
153,Seth Rollins,"June 19, 2016",<1,<1,,,Money in the Bank,"Las Vegas, NV",126,,WWE,[181],2,WWE_Championship,,
154,Dean Ambrose,"June 19, 2016",84,84,,,Money in the Bank,"Las Vegas, NV",127,Cashed in his Money in the Bank contract and the title's name reverted to WWE Championship. The brand extension returned and the title became exclusive to the SmackDown brand following the 2016 WWE Draft. The WWE Universal Championship was created for the Raw brand; the WWE Championship was then renamed to WWE World Championship.,WWE,[181],1,WWE_Championship,,
155,WWE: SmackDown,WWE: SmackDown,WWE: SmackDown,WWE: SmackDown,,,WWE: SmackDown,WWE: SmackDown,WWE: SmackDown,WWE: SmackDown,WWE,WWE: SmackDown,WWE: SmackDown,WWE_Championship,WWE: SmackDown,
156,AJ Styles,"September 11, 2016",140,140,,,Backlash,"Richmond, VA",128,"In December 2016, the title's name reverted to WWE Championship.[8]",WWE,[182],1,WWE_Championship,,
157,John Cena,"January 29, 2017",14,14,,,Royal Rumble,"San Antonio, TX",129,,WWE,[183],13,WWE_Championship,,
158,Bray Wyatt,"February 12, 2017",49,49,,,Elimination Chamber,"Phoenix, AZ",130,"This was an Elimination Chamber match also involving AJ Styles, Baron Corbin, Dean Ambrose, and The Miz.",WWE,[184],1,WWE_Championship,,
159,Randy Orton,"April 2, 2017",49,49,,,WrestleMania 33,"Orlando, FL",131,,WWE,[185],9,WWE_Championship,,
160,Jinder Mahal,"May 21, 2017",170,170,,,Backlash,"Rosemont, IL",132,,WWE,[186],1,WWE_Championship,,
161,AJ Styles,"November 7, 2017",371,371,,,SmackDown,"Manchester, England",133,,WWE,[187][188],2,WWE_Championship,,
162,Daniel Bryan,"November 13, 2018",145,144,,,SmackDown,"St. Louis, MO",134,,WWE,[189],4,WWE_Championship,,
163,Kofi Kingston,"April 7, 2019",180,180,,,WrestleMania 35,"East Rutherford, NJ",135,,WWE,[190],1,WWE_Championship,,
164,Brock Lesnar,"October 4, 2019",173,184,,,SmackDown's 20th Anniversary,"Los Angeles, CA",136,"On the November 1, 2019 episode of SmackDown, Lesnar quit SmackDown and went to Raw, taking the title with him.WWE recognizes this reign as ending on April 5, 2020, when the match aired on tape delay.",WWE,[191],5,WWE_Championship,,
165,WWE: Raw,WWE: Raw,WWE: Raw,WWE: Raw,,,WWE: Raw,WWE: Raw,WWE: Raw,WWE: Raw,WWE,WWE: Raw,WWE: Raw,WWE_Championship,WWE: Raw,
166,Drew McIntyre,"March 25, 2020",214,203,,,WrestleMania 36Part 2,"Orlando, FL",137,"WrestleMania was taped on March 25 and 26,[192] but McIntyre confirmed in his memoir, A Chosen Destiny: My Story, that the WWE Championship match was taped on March 25.[193]WWE recognizes this reign as beginning on April 5, 2020, when the match aired on tape delay.",WWE,[194],1,WWE_Championship,,
167,Randy Orton,"October 25, 2020",22,22,,,Hell in a Cell,"Orlando, FL",138,This was a Hell in a Cell match.,WWE,[195],10,WWE_Championship,,
168,Drew McIntyre,"November 16, 2020",97,97,,,Raw,"Orlando, FL",139,This was a no disqualification and no countout match.,WWE,[196],2,WWE_Championship,,
169,The Miz,"February 21, 2021",8,8,,,Elimination Chamber,"St. Petersburg, FL",140,Cashed in his Money in the Bank contract.,WWE,[197],2,WWE_Championship,,
170,Bobby Lashley,"March 1, 2021",196,195,,,Raw,"St. Petersburg, FL",141,This was a lumberjack match.,WWE,[198],1,WWE_Championship,,
171,Big E,"September 13, 2021",110,110,,,Raw,"Boston, MA",142,Cashed in his Money in the Bank contract.Big E was transferred to the Raw brand after winning the title.,WWE,[199],1,WWE_Championship,,
172,Brock Lesnar,"January 1, 2022",28,27,,,Day 1,"Atlanta, GA",143,"This was a fatal five-way match also involving Bobby Lashley, Kevin Owens, and Seth Rollins.",WWE,[200],6,WWE_Championship,,
173,Bobby Lashley,"January 29, 2022",21,20,,,Royal Rumble,"St. Louis, MO",144,,WWE,[201],2,WWE_Championship,,
174,Brock Lesnar,"February 19, 2022",3+,3+,,,Elimination Chamber,"Jeddah, Saudi Arabia",145,"This was an Elimination Chamber match also involving AJ Styles, Austin Theory, Riddle, and Seth Rollins.",WWE,[202],7,WWE_Championship,,
0,WWE: Raw,WWE: Raw,WWE: Raw,WWE: Raw,,,WWE: Raw,WWE: Raw,WWE: Raw,WWE: Raw,WWE,WWE: Raw,WWE: Raw,Universal_Championship,WWE: Raw,
1,Finn Bálor,"August 21, 2016",1,<1,,,SummerSlam,"Brooklyn, NY",1,The title was established for Raw after the WWE Championship became exclusive to SmackDown following the 2016 WWE Draft. Bálor defeated Seth Rollins in a pinfall and submission-only match to become the inaugural champion.,WWE,[39],1,Universal_Championship,,
2,Vacated,"August 22, 2016",—,—,,,Raw,"Brooklyn, NY",—,Vacated due to Finn Bálor suffering a legit shoulder injury during his match at SummerSlam.,WWE,[18][19],—,Universal_Championship,,
3,Kevin Owens,"August 29, 2016",188,188,,,Raw,"Houston, TX",2,"This was a fatal four-way elimination match for the vacant title also involving Big Cass, Roman Reigns, and Seth Rollins, who Owens last eliminated to win.",WWE,[40],1,Universal_Championship,,
4,Goldberg,"March 5, 2017",28,27,,,Fastlane,"Milwaukee, WI",3,,WWE,[41],1,Universal_Championship,,
5,Brock Lesnar,"April 2, 2017",504,503,,,WrestleMania 33,"Orlando, FL",4,,WWE,[42],1,Universal_Championship,,
6,Roman Reigns,"August 19, 2018",64,63,,,SummerSlam,"Brooklyn, NY",5,,WWE,[2],1,Universal_Championship,,
7,Vacated,"October 22, 2018",—,—,,,Raw,"Providence, RI",—,Vacated after Roman Reigns announced that he had a legitimate re-diagnosis of leukemia.,WWE,[43][44],—,Universal_Championship,,
8,Brock Lesnar,"November 2, 2018",156,156,,,Crown Jewel,"Riyadh, Saudi Arabia",6,"Originally scheduled as a triple threat match in which Roman Reigns was to defend the title against Lesnar and Braun Strowman.[45] After Reigns relinquished the championship, the match became a singles match between Lesnar and Strowman for the vacant title.[44]",WWE,[46],2,Universal_Championship,,
9,Seth Rollins,"April 7, 2019",98,98,,,WrestleMania 35,"East Rutherford, NJ",7,,WWE,[47],1,Universal_Championship,,
10,Brock Lesnar,"July 14, 2019",28,27,,,Extreme Rules,"Philadelphia, PA",8,Cashed in his Money in the Bank contract.,WWE,[48],3,Universal_Championship,,
11,Seth Rollins,"August 11, 2019",81,81,,,SummerSlam,"Toronto, ON, Canada",9,,WWE,[49],2,Universal_Championship,,
12,"""The Fiend"" Bray Wyatt","October 31, 2019",119,119,,,Crown Jewel,"Riyadh, Saudi Arabia",10,This was a Falls Count Anywhere match that could not be stopped for any reason.The title became exclusive to the SmackDown brand due to Wyatt's status as a SmackDown wrestler.,WWE,[21],1,Universal_Championship,,
13,WWE: SmackDown,WWE: SmackDown,WWE: SmackDown,WWE: SmackDown,,,WWE: SmackDown,WWE: SmackDown,WWE: SmackDown,WWE: SmackDown,WWE,WWE: SmackDown,WWE: SmackDown,Universal_Championship,WWE: SmackDown,
14,Goldberg,"February 27, 2020",28,37,,,Super ShowDown,"Riyadh, Saudi Arabia",11,"WWE recognizes this reign as ending on April 4, 2020, when the following match aired on tape delay.",WWE,[50],2,Universal_Championship,,
15,Braun Strowman,"March 25 or 26, 2020",150,141,,,WrestleMania 36Part 1,"Orlando, FL",12,"WrestleMania was taped on March 25 and 26, but it is currently unknown which day this match was taped. WWE recognizes this reign as beginning on April 4, 2020, when the match aired on tape delay.[51]",WWE,[52],1,Universal_Championship,,
16,"""The Fiend"" Bray Wyatt","August 23, 2020",7,6,,,SummerSlam,"Orlando, FL",13,This was a Falls Count Anywhere match.,WWE,[4],2,Universal_Championship,,
17,Roman Reigns,"August 30, 2020",541+,541+,,,Payback,"Orlando, FL",14,"This was a No Holds Barred triple threat match also involving Braun Strowman, who Reigns pinned.",WWE,[53],2,Universal_Championship,,
0,WWE: Raw,WWE: Raw,WWE: Raw,WWE: Raw,,,WWE: Raw,WWE: Raw,WWE: Raw,WWE: Raw,WWE,WWE: Raw,WWE: Raw,World_Heavyweight_Championship,WWE: Raw,
1,Triple H,"September 2, 2002",76,76,,,Raw,"Milwaukee, WI",1,"After the WWE Undisputed Championship became exclusive to the SmackDown! brand, Raw General Manager Eric Bischoff created the World Heavyweight Championship to be the world title of Raw and awarded it to Triple H, who was originally the number one contender for the WWE Undisputed Championship, which dropped the ""Undisputed"" moniker.At No Mercy on October 20, 2002, Triple H defeated Intercontinental Champion Kane to unify the Intercontinental Championship into the World Heavyweight Championship.",WWE,[7][8],1,World_Heavyweight_Championship,,
2,Shawn Michaels,"November 17, 2002",28,28,,,Survivor Series,"New York, NY",2,"This was the first Elimination Chamber match, also involving Chris Jericho, Booker T, Rob Van Dam, and Kane.",WWE,[9][10],1,World_Heavyweight_Championship,,
3,Triple H,"December 15, 2002",280,280,,,Armageddon,"Sunrise, FL",3,This was a Three Stages of Hell match.,WWE,[11][12],2,World_Heavyweight_Championship,,
4,Goldberg,"September 21, 2003",84,84,,,Unforgiven,"Hershey, PA",4,"This was a career vs. title match. If Triple H was counted out or disqualified, he would lose the title. If Goldberg lost, he would be forced to retire.",WWE,[13][14],1,World_Heavyweight_Championship,,
5,Triple H,"December 14, 2003",91,91,,,Armageddon,"Orlando, FL",5,"This was a triple threat match, also involving Kane.",WWE,[15][16],3,World_Heavyweight_Championship,,
6,Chris Benoit,"March 14, 2004",154,154,,,WrestleMania XX,"New York, NY",6,"This was a triple threat match, also involving Shawn Michaels.",WWE,[17],1,World_Heavyweight_Championship,,
7,Randy Orton,"August 15, 2004",28,28,,,SummerSlam,"Toronto, ON, Canada",7,,WWE,[18][19],1,World_Heavyweight_Championship,,
8,Triple H,"September 12, 2004",85,85,,,Unforgiven,"Portland, OR",8,,WWE,[20][21],4,World_Heavyweight_Championship,,
9,Vacated,"December 6, 2004",—,—,,,Raw,"Baltimore, MD",—,"The championship was vacated after a double fall occurred in a triple threat match, also involving Chris Benoit and Edge.",WWE,[22][23],—,World_Heavyweight_Championship,,
10,Triple H,"January 9, 2005",84,84,,,New Year's Revolution,"San Juan, PR",9,"Defeated Chris Benoit, Chris Jericho, Randy Orton, Batista, and Edge in an Elimination Chamber match for the vacant title. Shawn Michaels was the special guest referee.",WWE,[22][24],5,World_Heavyweight_Championship,,
11,Batista,"April 3, 2005",282,282,,,WrestleMania 21,"Los Angeles, CA",10,The title became exclusive to the SmackDown! brand following the 2005 WWE draft lottery while the WWE Championship became exclusive to the RAW brand.,WWE,[25][26],1,World_Heavyweight_Championship,,
12,WWE: SmackDown,WWE: SmackDown,WWE: SmackDown,WWE: SmackDown,,,WWE: SmackDown,WWE: SmackDown,WWE: SmackDown,WWE: SmackDown,WWE,WWE: SmackDown,WWE: SmackDown,World_Heavyweight_Championship,WWE: SmackDown,
13,Vacated,"January 10, 2006",—,—,,,SmackDown!,"Philadelphia, PA",—,"Batista vacated the title after he was sidelined with a legit triceps injury.Aired on tape delay on January 13, 2006.",WWE,[27][28],—,World_Heavyweight_Championship,,
